path,label,pca_feature_1,pca_feature_2,pca_feature_3,pca_feature_4,pca_feature_5,pca_feature_6,pca_feature_7,pca_feature_8,pca_feature_9,pca_feature_10,pca_feature_11,pca_feature_12,pca_feature_13,pca_feature_14,pca_feature_15,pca_feature_16,pca_feature_17,pca_feature_18,pca_feature_19,pca_feature_20,pca_feature_21,pca_feature_22,pca_feature_23,pca_feature_24,pca_feature_25,pca_feature_26,pca_feature_27,pca_feature_28,pca_feature_29,pca_feature_30,pca_feature_31
s3://p9-data-mohamedmerah/img_cloud/Pineapple/3_100.jpg,Pineapple,-15.52118,-0.59801316,6.799932,4.2468305,1.7519983,1.8774632,-4.5771575,-0.44518754,2.2659001,-1.2462839,-0.16774538,-2.1453757,-2.4471166,-3.503275,-2.5971286,-1.3250495,1.5074731,-4.3846216,2.113483,1.262813,-2.8302298,0.42649916,-0.9109625,1.1198686,1.020184,0.2577483,1.5755103,-0.5036045,0.22976728,1.8385978,1.0829967
s3://p9-data-mohamedmerah/img_cloud/Beetroot/23_100.jpg,Beetroot,-8.39898,-6.4592957,-14.586261,17.436125,-0.014220711,-3.0112672,-10.701702,1.2441217,3.3865192,-3.3566082,-4.3509746,-1.4542955,0.6070541,-0.6373318,-3.7896686,-2.0875049,-0.34323865,-1.8571011,-1.4738258,-4.861757,-4.366879,1.2922195,-2.6122308,0.66258,0.7448826,-0.2623454,1.5700016,-3.6907482,-0.30070192,-1.5283298,-1.3046265
s3://p9-data-mohamedmerah/img_cloud/Clementine/r_75_100.jpg,Clementine,4.544064,-5.1436205,-0.78633404,3.4153917,4.4165764,2.5719664,-8.133325,0.84630406,8.637035,1.873323,0.33699927,-4.6148734,-2.690098,0.3694572,0.34229997,2.1416328,-1.1823698,0.08174245,1.0750849,2.0958643,-0.9226988,3.0152848,-0.20061466,1.8586047,-1.4168724,1.1146027,4.932448,-3.0610425,-0.26373973,-1.7766948,-1.092021
s3://p9-data-mohamedmerah/img_cloud/Beetroot/130_100.jpg,Beetroot,-10.008346,-6.536685,-12.403179,17.617086,0.8723183,-2.6815572,-10.774389,0.09758108,0.6387168,-5.070434,-3.1230934,-3.679367,-0.28342077,3.02228,0.26483095,1.2558957,0.8828724,-4.2162704,5.8792634,6.3173923,-2.4921372,-0.5813515,-1.2400246,1.2078182,-1.7277244,1.7860161,1.5645391,-0.80272734,0.52761865,-2.153095,-1.9144002
s3://p9-data-mohamedmerah/img_cloud/Beetroot/r2_66_100.jpg,Beetroot,-3.4129283,-1.7143763,-7.223876,11.92043,2.9476385,0.5719629,0.8571782,2.9221752,1.0564176,7.2566257,2.3925622,-2.6011941,-0.98847234,1.7993859,0.20845039,1.6077925,2.4783409,-7.8633513,3.1348915,-1.3058124,-0.13226658,3.5337064,-4.0544753,1.8399323,-2.6398401,0.38874632,0.3376777,-3.2689786,-1.3456162,-1.7224883,-1.0690933
s3://p9-data-mohamedmerah/img_cloud/Tomato 1/209_100.jpg,Tomato 1,5.285964,-13.96274,2.8833754,9.446474,-3.7664096,0.55167264,0.013538647,-1.0540899,2.7772417,-2.8612728,-1.8521113,-2.0592172,-0.5459204,1.2416325,-2.8465667,-0.7238284,2.8130665,-3.0900352,-0.69435734,2.2086942,-3.5936468,0.20253895,-3.62052,2.4422457,-2.3025138,1.1577555,0.540768,-1.8807005,0.7874802,-2.0438235,-1.015471
s3://p9-data-mohamedmerah/img_cloud/Apple Golden 3/r_74_100.jpg,Apple Golden 3,0.07671709,2.3845704,-7.903299,7.005012,-4.5748453,9.542067,-4.339488,-4.682374,5.6068077,-2.9549322,1.181636,-5.663421,2.9508843,-0.042023927,-1.3719623,-3.4399378,-0.15856718,-2.6517477,2.3145263,-0.8225157,-3.7246885,1.8557135,1.255714,0.094548136,-3.5398881,3.8972747,0.47316322,-1.8946793,-0.5173281,-3.2889533,-0.9739314
s3://p9-data-mohamedmerah/img_cloud/Apple Pink Lady/78_100.jpg,Apple Pink Lady,6.5431266,-2.1094193,-0.17786644,7.578789,2.247664,2.6628873,-4.472271,-0.6719377,-2.1754854,0.2294252,-5.733834,-3.973608,-0.42178074,-2.420874,0.91659164,-2.433091,0.30235773,-3.568685,2.3718288,0.45518783,-3.0759757,0.03434384,-1.7249001,0.44120324,-1.4345499,0.37492257,1.6194123,-2.2879615,-1.500619,-2.3876436,-1.447576
s3://p9-data-mohamedmerah/img_cloud/Beetroot/r2_106_100.jpg,Beetroot,-4.7108874,-2.8937745,-8.177815,10.841366,1.6187187,0.75656253,-0.6084026,1.4791871,2.692041,6.791199,1.897929,-2.487051,-0.9117535,-3.0460765,0.9813624,-4.5104766,0.26839343,3.0186667,4.3783593,1.364256,-6.681237,-1.061905,-5.044044,1.1729301,-1.6644195,1.3901706,1.7080292,-0.42293555,0.31056342,-2.054543,-1.1550128
s3://p9-data-mohamedmerah/img_cloud/Banana Red/r_273_100.jpg,Banana Red,-3.6448965,-9.814179,-8.208549,-2.9921799,1.8276025,1.0634935,-3.624469,-10.248337,5.342254,0.9968049,-3.0527062,8.807276,-1.5152106,1.0520852,0.8326673,-0.6592254,-1.2361888,-4.803867,2.383006,1.0196028,-4.038467,0.07362035,-1.9305505,0.34031254,-0.79265654,0.7535969,1.5184432,-1.9305819,-0.8766559,-2.2441995,-1.9660779
